Variable,Scenario,Percentile,2040,2070,2100
Capacity|Electricity|Solar,HD_ER_RCP85_1_CDD_30_20,50,-22.44365009,-6.191455919,-7.765545919
Capacity|Electricity|Solar,HD_ER_RCP85_1_CDD_30_20,5,-39.80494757,-65.28551183,-89.22824167
Capacity|Electricity|Solar,HD_ER_RCP85_1_CDD_30_20,95,12.73411687,54.6527405,84.12017092
Capacity|Electricity|Wind,HD_ER_RCP85_1_CDD_30_20,50,44.23660513,68.58664806,90.79902311
Capacity|Electricity|Wind,HD_ER_RCP85_1_CDD_30_20,5,29.18724509,1.04374575,-48.16005432
Capacity|Electricity|Wind,HD_ER_RCP85_1_CDD_30_20,95,73.07063452,107.4947776,147.8434405
Capacity|Biomass,HD_ER_RCP85_1_CDD_30_20,50,36.0994196,63.84092268,118.4364076
Capacity|Biomass,HD_ER_RCP85_1_CDD_30_20,5,27.27767609,48.23710036,45.36575759
Capacity|Biomass,HD_ER_RCP85_1_CDD_30_20,95,48.82919091,101.1957581,185.7592223
Capacity|Coal,HD_ER_RCP85_1_CDD_30_20,50,0.700169354,0.791625518,1.525345955
Capacity|Coal,HD_ER_RCP85_1_CDD_30_20,5,0.555492395,0.565525898,0.602561258
Capacity|Coal,HD_ER_RCP85_1_CDD_30_20,95,3.323070076,3.905889446,6.716465634
Capacity|Gas,HD_ER_RCP85_1_CDD_30_20,50,0.521878719,0.441136948,-0.131825731
Capacity|Gas,HD_ER_RCP85_1_CDD_30_20,5,-2.369575072,-0.657868493,-0.662948819
Capacity|Gas,HD_ER_RCP85_1_CDD_30_20,95,0.72654201,0.589771806,0.453905447
Capacity|Oil,HD_ER_RCP85_1_CDD_30_20,50,0.629884496,3.730024167,7.895632307
Capacity|Oil,HD_ER_RCP85_1_CDD_30_20,5,-2.340678654,2.398523976,3.703092495
Capacity|Oil,HD_ER_RCP85_1_CDD_30_20,95,0.771465352,4.601897898,10.7388587
Capacity|Electricity|Hydro,HD_ER_RCP85_1_CDD_30_20,50,-5.44126484,-9.620237171,-11.03582113
Capacity|Electricity|Hydro,HD_ER_RCP85_1_CDD_30_20,5,-6.201915712,-10.06577841,-11.48546013
Capacity|Electricity|Hydro,HD_ER_RCP85_1_CDD_30_20,95,-4.945306691,-9.30403481,-10.70819984
Capacity|Electricity|Nuclear,HD_ER_RCP85_1_CDD_30_20,50,-7.844604245,-6.623390468,-6.172563344
Capacity|Electricity|Nuclear,HD_ER_RCP85_1_CDD_30_20,5,-21.65559834,-9.451360298,-7.484610566
Capacity|Electricity|Nuclear,HD_ER_RCP85_1_CDD_30_20,95,-7.591877337,-6.402762328,-5.917472125
Capacity|Geothermal,HD_ER_RCP85_1_CDD_30_20,50,,,
Capacity|Geothermal,HD_ER_RCP85_1_CDD_30_20,5,,,
Capacity|Geothermal,HD_ER_RCP85_1_CDD_30_20,95,,,
Capacity|Electricity|Solar,HD_ER_RCP85_2_CDD_30_20,50,-22.91800235,-0.757542377,-4.608029794
Capacity|Electricity|Solar,HD_ER_RCP85_2_CDD_30_20,5,-43.03130825,-69.77862944,-95.03069741
Capacity|Electricity|Solar,HD_ER_RCP85_2_CDD_30_20,95,13.85458468,77.65132408,116.1784841
Capacity|Electricity|Wind,HD_ER_RCP85_2_CDD_30_20,50,54.58604129,85.06771287,116.2323144
Capacity|Electricity|Wind,HD_ER_RCP85_2_CDD_30_20,5,32.90455912,0.95140757,-64.55876673
Capacity|Electricity|Wind,HD_ER_RCP85_2_CDD_30_20,95,74.01029976,136.5414683,190.1063221
Capacity|Biomass,HD_ER_RCP85_2_CDD_30_20,50,52.41643087,103.2015167,174.3368873
Capacity|Biomass,HD_ER_RCP85_2_CDD_30_20,5,43.35217896,67.42006796,55.11851135
Capacity|Biomass,HD_ER_RCP85_2_CDD_30_20,95,65.7298566,176.4895281,286.5527331
Capacity|Coal,HD_ER_RCP85_2_CDD_30_20,50,0.689389585,1.02796694,1.223839905
Capacity|Coal,HD_ER_RCP85_2_CDD_30_20,5,0.571597003,0.646195832,0.685779824
Capacity|Coal,HD_ER_RCP85_2_CDD_30_20,95,1.424439574,1.892540027,6.486313881
Capacity|Gas,HD_ER_RCP85_2_CDD_30_20,50,0.61357252,0.464467045,-0.33484562
Capacity|Gas,HD_ER_RCP85_2_CDD_30_20,5,0.440430282,0.121584505,-4.761500775
Capacity|Gas,HD_ER_RCP85_2_CDD_30_20,95,0.850610861,0.675265879,0.467868293
Capacity|Oil,HD_ER_RCP85_2_CDD_30_20,50,0.821696216,5.008871882,7.49581015
Capacity|Oil,HD_ER_RCP85_2_CDD_30_20,5,0.606393994,3.769801908,-8.601304692
Capacity|Oil,HD_ER_RCP85_2_CDD_30_20,95,1.002759868,6.795753869,12.86308459
Capacity|Electricity|Hydro,HD_ER_RCP85_2_CDD_30_20,50,-4.993472863,-9.437659038,-11.04797241
Capacity|Electricity|Hydro,HD_ER_RCP85_2_CDD_30_20,5,-5.43629269,-9.815060824,-15.96369906
Capacity|Electricity|Hydro,HD_ER_RCP85_2_CDD_30_20,95,-4.536967797,-9.098057565,-10.61936223
Capacity|Electricity|Nuclear,HD_ER_RCP85_2_CDD_30_20,50,-7.790091613,-6.573782139,-6.166110376
Capacity|Electricity|Nuclear,HD_ER_RCP85_2_CDD_30_20,5,-12.32565158,-7.428162712,-6.598967301
Capacity|Electricity|Nuclear,HD_ER_RCP85_2_CDD_30_20,95,-7.515381808,-6.3682947,-5.918376272
Capacity|Geothermal,HD_ER_RCP85_2_CDD_30_20,50,,,
Capacity|Geothermal,HD_ER_RCP85_2_CDD_30_20,5,,,
Capacity|Geothermal,HD_ER_RCP85_2_CDD_30_20,95,,,
Capacity|Electricity|Solar,HD_ER_RCP85_3_CDD_30_20,50,-16.32903244,5.194773992,-1.849884331
Capacity|Electricity|Solar,HD_ER_RCP85_3_CDD_30_20,5,-45.268299,-73.26476032,-97.93220046
Capacity|Electricity|Solar,HD_ER_RCP85_3_CDD_30_20,95,22.29594668,103.5845026,152.4252214
Capacity|Electricity|Wind,HD_ER_RCP85_3_CDD_30_20,50,61.12344335,98.15135992,135.8712364
Capacity|Electricity|Wind,HD_ER_RCP85_3_CDD_30_20,5,34.99141601,-3.327602425,-80.99472408
Capacity|Electricity|Wind,HD_ER_RCP85_3_CDD_30_20,95,82.4010828,170.1078601,234.6645067
Capacity|Biomass,HD_ER_RCP85_3_CDD_30_20,50,69.89633773,149.9217183,220.6748436
Capacity|Biomass,HD_ER_RCP85_3_CDD_30_20,5,58.56392496,81.82362257,53.56556736
Capacity|Biomass,HD_ER_RCP85_3_CDD_30_20,95,87.60130813,261.7186485,410.9253333
Capacity|Coal,HD_ER_RCP85_3_CDD_30_20,50,0.69902808,1.276886967,1.490071685
Capacity|Coal,HD_ER_RCP85_3_CDD_30_20,5,0.556379095,0.783139921,0.856469383
Capacity|Coal,HD_ER_RCP85_3_CDD_30_20,95,1.079619253,1.893367545,7.872349313
Capacity|Gas,HD_ER_RCP85_3_CDD_30_20,50,0.695272783,0.457753601,-0.477690619
Capacity|Gas,HD_ER_RCP85_3_CDD_30_20,5,0.479623666,-0.05806867,-35.32072459
Capacity|Gas,HD_ER_RCP85_3_CDD_30_20,95,1.007251454,0.805832381,0.478379076
Capacity|Oil,HD_ER_RCP85_3_CDD_30_20,50,1.026993585,6.387641958,6.265606706
Capacity|Oil,HD_ER_RCP85_3_CDD_30_20,5,0.832279549,4.254738352,-13.38727963
Capacity|Oil,HD_ER_RCP85_3_CDD_30_20,95,1.307969022,9.240156761,14.0142579
Capacity|Electricity|Hydro,HD_ER_RCP85_3_CDD_30_20,50,-4.838378992,-9.359714876,-11.08392997
Capacity|Electricity|Hydro,HD_ER_RCP85_3_CDD_30_20,5,-5.300414589,-9.820360397,-24.39435241
Capacity|Electricity|Hydro,HD_ER_RCP85_3_CDD_30_20,95,-4.326258162,-8.972877897,-10.55518636
Capacity|Electricity|Nuclear,HD_ER_RCP85_3_CDD_30_20,50,-7.787115578,-6.580929901,-6.198409367
Capacity|Electricity|Nuclear,HD_ER_RCP85_3_CDD_30_20,5,-10.80794165,-7.198648147,-6.833042521
Capacity|Electricity|Nuclear,HD_ER_RCP85_3_CDD_30_20,95,-7.517783784,-6.363969716,-5.93563537
Capacity|Geothermal,HD_ER_RCP85_3_CDD_30_20,50,,,
Capacity|Geothermal,HD_ER_RCP85_3_CDD_30_20,5,,,
Capacity|Geothermal,HD_ER_RCP85_3_CDD_30_20,95,,,
Capacity|Electricity|Solar,HD_ER_RCP85_4_CDD_30_20,50,-7.123284713,12.80055138,2.152421992
Capacity|Electricity|Solar,HD_ER_RCP85_4_CDD_30_20,5,-45.91159658,-75.54350459,-99.04594005
Capacity|Electricity|Solar,HD_ER_RCP85_4_CDD_30_20,95,32.30680545,131.8951803,189.3269066
Capacity|Electricity|Wind,HD_ER_RCP85_4_CDD_30_20,50,67.0662146,110.3232033,152.9824796
Capacity|Electricity|Wind,HD_ER_RCP85_4_CDD_30_20,5,37.87518392,-11.95054841,-89.55131996
Capacity|Electricity|Wind,HD_ER_RCP85_4_CDD_30_20,95,91.36723757,204.5758307,279.8664108
Capacity|Biomass,HD_ER_RCP85_4_CDD_30_20,50,87.46436877,196.5297351,251.8556408
Capacity|Biomass,HD_ER_RCP85_4_CDD_30_20,5,73.07473317,89.03862441,43.33062776
Capacity|Biomass,HD_ER_RCP85_4_CDD_30_20,95,111.3341877,353.5849014,548.9498031
Capacity|Coal,HD_ER_RCP85_4_CDD_30_20,50,0.862110536,1.756337618,2.085606065
Capacity|Coal,HD_ER_RCP85_4_CDD_30_20,5,0.574518493,1.057267974,1.177058653
Capacity|Coal,HD_ER_RCP85_4_CDD_30_20,95,1.499835406,2.619431246,9.41274192
Capacity|Gas,HD_ER_RCP85_4_CDD_30_20,50,0.838759891,0.475826022,-0.541894761
Capacity|Gas,HD_ER_RCP85_4_CDD_30_20,5,0.391570527,-0.254380531,-51.69560557
Capacity|Gas,HD_ER_RCP85_4_CDD_30_20,95,1.247261984,0.988373003,0.494018716
Capacity|Oil,HD_ER_RCP85_4_CDD_30_20,50,1.293080921,7.893646514,5.344417876
Capacity|Oil,HD_ER_RCP85_4_CDD_30_20,5,0.251786654,4.5764561,-13.20009349
Capacity|Oil,HD_ER_RCP85_4_CDD_30_20,95,1.681253949,11.96025905,15.41860373
Capacity|Electricity|Hydro,HD_ER_RCP85_4_CDD_30_20,50,-4.697415497,-9.275906747,-11.07627673
Capacity|Electricity|Hydro,HD_ER_RCP85_4_CDD_30_20,5,-5.181426999,-9.813259341,-30.97007781
Capacity|Electricity|Hydro,HD_ER_RCP85_4_CDD_30_20,95,-4.117639962,-8.821083113,-10.51923854
Capacity|Electricity|Nuclear,HD_ER_RCP85_4_CDD_30_20,50,-7.853611594,-6.649809791,-6.29347652
Capacity|Electricity|Nuclear,HD_ER_RCP85_4_CDD_30_20,5,-16.21065839,-8.214137492,-16.74768068
Capacity|Electricity|Nuclear,HD_ER_RCP85_4_CDD_30_20,95,-7.535344171,-6.389024501,-5.973946149
Capacity|Geothermal,HD_ER_RCP85_4_CDD_30_20,50,,,
Capacity|Geothermal,HD_ER_RCP85_4_CDD_30_20,5,,,
Capacity|Geothermal,HD_ER_RCP85_4_CDD_30_20,95,,,
Capacity|Electricity|Solar,HD_ER_RCP85_5_CDD_30_20,50,1.517474527,18.77831971,4.689249715
Capacity|Electricity|Solar,HD_ER_RCP85_5_CDD_30_20,5,-41.68605412,-77.20521433,-99.58801292
Capacity|Electricity|Solar,HD_ER_RCP85_5_CDD_30_20,95,42.31703084,169.7449387,228.7516065
Capacity|Electricity|Wind,HD_ER_RCP85_5_CDD_30_20,50,72.38415211,121.7062571,171.2281625
Capacity|Electricity|Wind,HD_ER_RCP85_5_CDD_30_20,5,42.30197288,-21.22079508,-93.68701266
Capacity|Electricity|Wind,HD_ER_RCP85_5_CDD_30_20,95,100.006636,246.0299787,338.8087313
Capacity|Biomass,HD_ER_RCP85_5_CDD_30_20,50,106.430954,237.9296586,265.7993398
Capacity|Biomass,HD_ER_RCP85_5_CDD_30_20,5,87.59153146,91.00630643,16.71558925
Capacity|Biomass,HD_ER_RCP85_5_CDD_30_20,95,136.3677764,449.981817,689.3768687
Capacity|Coal,HD_ER_RCP85_5_CDD_30_20,50,1.079572771,2.379235302,2.784026885
Capacity|Coal,HD_ER_RCP85_5_CDD_30_20,5,0.670436593,1.484455463,1.5578959
Capacity|Coal,HD_ER_RCP85_5_CDD_30_20,95,1.961265878,3.692547707,10.56823204
Capacity|Gas,HD_ER_RCP85_5_CDD_30_20,50,1.008968277,0.497462716,-0.643537008
Capacity|Gas,HD_ER_RCP85_5_CDD_30_20,5,-0.014254013,-0.450511375,-58.74496065
Capacity|Gas,HD_ER_RCP85_5_CDD_30_20,95,1.530709734,1.163940153,0.556929524
Capacity|Oil,HD_ER_RCP85_5_CDD_30_20,50,1.577355384,9.439446416,4.666259411
Capacity|Oil,HD_ER_RCP85_5_CDD_30_20,5,0.043665182,4.714093107,-13.07440692
Capacity|Oil,HD_ER_RCP85_5_CDD_30_20,95,2.077185466,14.90443291,16.30774497
Capacity|Electricity|Hydro,HD_ER_RCP85_5_CDD_30_20,50,-4.544750575,-9.19407838,-11.06998454
Capacity|Electricity|Hydro,HD_ER_RCP85_5_CDD_30_20,5,-5.040485079,-9.836842291,-34.14402325
Capacity|Electricity|Hydro,HD_ER_RCP85_5_CDD_30_20,95,-3.84199982,-8.6803727,-10.45570606
Capacity|Electricity|Nuclear,HD_ER_RCP85_5_CDD_30_20,50,-7.935492616,-6.75919739,-6.622111814
Capacity|Electricity|Nuclear,HD_ER_RCP85_5_CDD_30_20,5,-19.62836484,-9.486168502,-32.42282117
Capacity|Electricity|Nuclear,HD_ER_RCP85_5_CDD_30_20,95,-7.541869954,-6.446837876,-6.041695508
Capacity|Geothermal,HD_ER_RCP85_5_CDD_30_20,50,,,
Capacity|Geothermal,HD_ER_RCP85_5_CDD_30_20,5,,,
Capacity|Geothermal,HD_ER_RCP85_5_CDD_30_20,95,,,
Capacity|Electricity|Solar,HD_ER_RCP85_1_CDD_20_10,50,-21.81576166,-7.440982569,-2.208327919
Capacity|Electricity|Solar,HD_ER_RCP85_1_CDD_20_10,5,-28.83062049,-52.85302359,-77.16495332
Capacity|Electricity|Solar,HD_ER_RCP85_1_CDD_20_10,95,8.856254363,55.4885324,87.47047781
Capacity|Electricity|Wind,HD_ER_RCP85_1_CDD_20_10,50,40.6778961,71.1094996,91.18037182
Capacity|Electricity|Wind,HD_ER_RCP85_1_CDD_20_10,5,28.12341741,-0.643104148,-45.5735694
Capacity|Electricity|Wind,HD_ER_RCP85_1_CDD_20_10,95,63.70441796,102.2288011,143.5527681
Capacity|Biomass,HD_ER_RCP85_1_CDD_20_10,50,31.90837482,43.5255088,51.02244283
Capacity|Biomass,HD_ER_RCP85_1_CDD_20_10,5,26.15333229,32.56244253,31.82416296
Capacity|Biomass,HD_ER_RCP85_1_CDD_20_10,95,40.77684349,55.18220708,101.5028364
Capacity|Coal,HD_ER_RCP85_1_CDD_20_10,50,0.490622182,0.494519009,0.760058775
Capacity|Coal,HD_ER_RCP85_1_CDD_20_10,5,0.406827089,0.409279556,0.413467462
Capacity|Coal,HD_ER_RCP85_1_CDD_20_10,95,1.664059132,1.844129914,3.745358587
Capacity|Gas,HD_ER_RCP85_1_CDD_20_10,50,0.305422274,0.275722011,0.230716781
Capacity|Gas,HD_ER_RCP85_1_CDD_20_10,5,-2.356147972,-0.726218025,-0.229471372
Capacity|Gas,HD_ER_RCP85_1_CDD_20_10,95,0.425663137,0.385423092,0.394427391
Capacity|Oil,HD_ER_RCP85_1_CDD_20_10,50,0.472697689,2.846925375,5.224148488
Capacity|Oil,HD_ER_RCP85_1_CDD_20_10,5,-2.37655503,1.434231963,3.639801309
Capacity|Oil,HD_ER_RCP85_1_CDD_20_10,95,0.575090916,3.412670231,7.472319063
Capacity|Electricity|Hydro,HD_ER_RCP85_1_CDD_20_10,50,-4.186790832,-6.953722375,-7.767030877
Capacity|Electricity|Hydro,HD_ER_RCP85_1_CDD_20_10,5,-4.786491636,-7.208951871,-7.998468658
Capacity|Electricity|Hydro,HD_ER_RCP85_1_CDD_20_10,95,-3.827567643,-6.769329971,-7.628704351
Capacity|Electricity|Nuclear,HD_ER_RCP85_1_CDD_20_10,50,-4.512732225,-3.398538777,-3.091518919
Capacity|Electricity|Nuclear,HD_ER_RCP85_1_CDD_20_10,5,-15.10120577,-5.644184602,-4.164493532
Capacity|Electricity|Nuclear,HD_ER_RCP85_1_CDD_20_10,95,-4.331129136,-3.242589317,-2.953478168
Capacity|Geothermal,HD_ER_RCP85_1_CDD_20_10,50,,,
Capacity|Geothermal,HD_ER_RCP85_1_CDD_20_10,5,,,
Capacity|Geothermal,HD_ER_RCP85_1_CDD_20_10,95,,,
Capacity|Electricity|Solar,HD_ER_RCP85_2_CDD_20_10,50,-23.99438722,0.482145381,2.374194201
Capacity|Electricity|Solar,HD_ER_RCP85_2_CDD_20_10,5,-33.0891328,-59.49296689,-86.4045766
Capacity|Electricity|Solar,HD_ER_RCP85_2_CDD_20_10,95,10.26167397,80.49516164,121.0982619
Capacity|Electricity|Wind,HD_ER_RCP85_2_CDD_20_10,50,53.54609764,93.41875968,122.1339016
Capacity|Electricity|Wind,HD_ER_RCP85_2_CDD_20_10,5,32.57514815,0.340108039,-61.03283296
Capacity|Electricity|Wind,HD_ER_RCP85_2_CDD_20_10,95,68.23079085,134.3207946,189.3761546
Capacity|Biomass,HD_ER_RCP85_2_CDD_20_10,50,48.5857781,68.01175213,78.64043449
Capacity|Biomass,HD_ER_RCP85_2_CDD_20_10,5,41.2654505,48.64583103,39.96014566
Capacity|Biomass,HD_ER_RCP85_2_CDD_20_10,95,60.79340974,93.38764335,180.7569384
Capacity|Coal,HD_ER_RCP85_2_CDD_20_10,50,0.483216175,0.490512137,0.559107699
Capacity|Coal,HD_ER_RCP85_2_CDD_20_10,5,0.400411571,0.40319466,0.400439039
Capacity|Coal,HD_ER_RCP85_2_CDD_20_10,95,0.63942489,0.787325803,3.974407785
Capacity|Gas,HD_ER_RCP85_2_CDD_20_10,50,0.377968169,0.369680795,0.188030496
Capacity|Gas,HD_ER_RCP85_2_CDD_20_10,5,0.180995519,0.191288755,-0.494864176
Capacity|Gas,HD_ER_RCP85_2_CDD_20_10,95,0.550144381,0.512002557,0.4123497
Capacity|Oil,HD_ER_RCP85_2_CDD_20_10,50,0.655785915,3.78116272,6.71125569
Capacity|Oil,HD_ER_RCP85_2_CDD_20_10,5,0.294382997,2.948098553,4.180534694
Capacity|Oil,HD_ER_RCP85_2_CDD_20_10,95,0.821061835,4.645409439,10.41785127
Capacity|Electricity|Hydro,HD_ER_RCP85_2_CDD_20_10,50,-3.658182939,-6.712385215,-7.686299119
Capacity|Electricity|Hydro,HD_ER_RCP85_2_CDD_20_10,5,-3.982365036,-6.887229018,-8.015857343
Capacity|Electricity|Hydro,HD_ER_RCP85_2_CDD_20_10,95,-3.295841889,-6.524171276,-7.520288207
Capacity|Electricity|Nuclear,HD_ER_RCP85_2_CDD_20_10,50,-4.484116863,-3.32636283,-3.081987423
Capacity|Electricity|Nuclear,HD_ER_RCP85_2_CDD_20_10,5,-7.239744967,-3.829169551,-3.352749359
Capacity|Electricity|Nuclear,HD_ER_RCP85_2_CDD_20_10,95,-4.28288885,-3.149618701,-2.938658312
Capacity|Geothermal,HD_ER_RCP85_2_CDD_20_10,50,,,
Capacity|Geothermal,HD_ER_RCP85_2_CDD_20_10,5,,,
Capacity|Geothermal,HD_ER_RCP85_2_CDD_20_10,95,,,
Capacity|Electricity|Solar,HD_ER_RCP85_3_CDD_20_10,50,-17.37967805,8.585201052,6.353258737
Capacity|Electricity|Solar,HD_ER_RCP85_3_CDD_20_10,5,-36.21484462,-64.86566133,-92.49730916
